@Attribute cap_words_words_ratio REAL,@Attribute amount_exclamation_marks REAL,@Attribute is_response REAL,@Attribute amount_words REAL,@Attribute word_sentence_ratio REAL,@Attribute amount_links REAL,@Attribute amount_cap_lock_words REAL,@Attribute amount_of_3_contiguous_spaces REAL,@Attribute amount_dollar_signs REAL,@Attribute amount_money REAL,@Attribute amount_percent_sign REAL,@ATTRIBUTE TARGET {0 1}
0.53125,1,0,64,32.0,5,4,0,2,0,0,1
0.17040358744394618,2,0,223,27.875,4,47,4,0,0,0,1
0.12652296157450796,1,2,1067,38.107142857142854,1,67,0,0,5,1,0
0.04891304347826087,1,1,736,46.0,0,448,66,0,0,0,0
0.3076923076923077,0,2,91,30.333333333333332,1,9,0,0,0,0,0
0.15714285714285714,0,1,70,70.0,0,4,0,2,0,0,0
0.1871508379888268,7,0,358,51.142857142857146,4,80,10,1,0,0,1
0.06153846153846154,0,1,130,26.0,0,5,0,0,0,0,0
0.13043478260869565,2,1,115,28.75,1,8,0,0,0,0,0
0.1079913606911447,0,0,463,33.07142857142857,1,16,0,2,2,3,1
0.15776241357636706,0,0,1591,46.794117647058826,9,283,4,0,0,2,1
0.14456035767511177,1,4,671,29.17391304347826,2,115,1,2,0,0,0
0.16806722689075632,2,0,238,21.636363636363637,3,116,17,0,0,1,1
0.09207708779443255,0,0,467,31.133333333333333,0,11,0,1,1,3,1
0.1794871794871795,4,0,117,39.0,4,9,0,0,0,0,1
0.22580645161290322,1,0,31,15.5,3,4,0,2,0,0,0
0.17073170731707318,1,0,41,20.5,1,4,0,0,0,1,1
0.3522727272727273,2,0,88,88.0,6,32,5,0,0,2,1
0.5517241379310345,0,1,29,9.666666666666666,0,6,0,0,0,0,0
0.11285266457680251,0,0,319,24.53846153846154,1,8,0,0,0,0,0
0.17791411042944785,0,0,163,40.75,4,5,0,0,0,0,1
0.09195402298850575,0,1,87,29.0,1,4,0,0,0,0,0
0.10344827586206896,0,0,116,29.0,0,8,0,1,0,0,0
0.11214953271028037,0,1,107,26.75,1,9,0,0,0,0,0
0.14209115281501342,0,1,373,46.625,3,99,6,0,0,0,0
0.9629629629629629,3,0,27,27.0,0,26,0,0,0,0,1
0.18811881188118812,0,1,101,25.25,0,8,0,0,0,0,0
0.18992248062015504,0,1,258,23.454545454545453,1,41,0,0,0,1,0
0.09649122807017543,0,0,456,76.0,0,18,0,1,1,0,1
0.05365126676602087,0,0,671,111.83333333333333,2,406,74,0,0,1,1
0.3333333333333333,1,0,15,15.0,0,2,0,0,1,0,1
0.14673913043478262,0,0,368,52.57142857142857,1,25,0,0,4,4,1
0.2537313432835821,0,0,67,67.0,2,23,2,0,0,0,1
0.36787564766839376,2,0,193,48.25,3,49,3,5,0,2,1
