@RELATION target
@Attribute cap_words_words_ratio REAL
@Attribute amount_exclamation_marks REAL
@Attribute is_response REAL
@Attribute amount_words REAL
@Attribute word_sentence_ratio REAL
@Attribute amount_links REAL
@Attribute amount_cap_lock_words REAL
@Attribute amount_of_3_contiguous_spaces REAL
@Attribute amount_dollar_signs REAL
@Attribute amount_money REAL
@Attribute amount_percent_sign REAL
@ATTRIBUTE TARGET {0 1}
@DATA
0.18226600985221675, 5, 1, 203, 29.0, 3, 23, 3, 0, 0, 0, 1
0.2, 3, 0, 70, 14.0, 2, 19, 2, 2, 0, 1, 1
0.06910569105691057, 1, 1, 246, 20.5, 1, 19, 0, 0, 0, 0, 0
0.0077011659709227, 0, 0, 13894, 2315.6666666666665, 13, 12706, 4174, 0, 0, 41, 1
0.16020236087689713, 13, 0, 593, 98.83333333333333, 2, 257, 73, 2, 0, 6, 1
0.25, 0, 0, 40, 13.333333333333334, 2, 7, 0, 0, 0, 1, 1
0.13911620294599017, 14, 0, 611, 122.2, 2, 251, 71, 3, 0, 7, 1
0.3142857142857143, 5, 1, 175, 25.0, 3, 31, 4, 0, 0, 0, 1
0.18674698795180722, 0, 2, 166, 20.75, 0, 26, 0, 0, 0, 0, 0
0.15895953757225434, 1, 1, 346, 20.352941176470587, 1, 22, 0, 0, 0, 0, 0
0.18181818181818182, 1, 0, 11, 11.0, 0, 2, 0, 0, 0, 0, 1
0.22270742358078602, 2, 0, 229, 38.166666666666664, 2, 9, 0, 0, 0, 0, 0
0.14870395634379263, 1, 2, 733, 21.558823529411764, 1, 163, 8, 0, 0, 0, 0
0.09424083769633508, 0, 2, 191, 21.22222222222222, 0, 12, 0, 0, 0, 0, 0
0.11834319526627218, 0, 0, 338, 24.142857142857142, 0, 23, 3, 0, 0, 0, 0
0.10615711252653928, 11, 0, 942, 235.5, 68, 242, 63, 1, 0, 0, 1
0.025997952917093142, 11, 0, 4885, 1221.25, 44, 3936, 1290, 13, 0, 7, 1
0.23863636363636365, 2, 1, 88, 88.0, 3, 1, 0, 0, 0, 0, 0
0.12857142857142856, 0, 1, 70, 70.0, 0, 1, 0, 0, 0, 0, 0
0.11023622047244094, 0, 1, 889, 23.394736842105264, 1, 17, 0, 0, 0, 0, 0
